text,emotion
layin n bed with a headache ughhhhwaitin on your call,Sadness
funeral ceremonygloomy friday,Sadness
wants to hang out with friends soon,Happy
we want to trade with someone who has houston tickets but no one will,Normal
repinging why didnt you go to prom bc my bf didnt like my friends,Anxiety
i should be sleep but im not thinking about an old friend who i want but hes married now damn amp he wants me scandalous,Sadness
hmmm is down,Anxiety
charlene my love i miss you,Sadness
im sorry at least its friday,Sadness
cant fall asleep,Normal
choked on her retainers,Anxiety
ugh i have to beat this stupid song to get to the next rude,Sadness
if u watch the hills in london u will realise what tourture it is because were weeks and weeks late i just watch itonlinelol,Sadness
got the news,Normal
the storm is here and the electricity is gone,Sadness
agreed,Happy
so sleepy again and its not even that late i fail once again,Sadness
lady gaga tweeted about not being impressed by her video leaking just so you know,Anxiety
how are you convinced that i have always wanted you what signals did i give offdamn i think i just lost another friend,Sadness
oh too bad i hope it gets better ive been having sleep issues lately too,Anxiety
wondering why im awake at amwriting a new songplotting my evil secret plots muahahahaoh damn itnot secret anymore,Happy
no topic maps talks at the balisage markup conference program online at via,Normal
i ate something i dont know what it is why do i keep telling things about food,Anxiety
so tired and i think im definitely going to get an ear infection going to bed quotearlyquot for once,Sadness
on my way home n having deal w underage girls drinking gin on da bus while talking bout keggersdamn i feel old,Anxiety
im sorry people are so rude to you isaac they should get some manners and know better than to be so lewd,Sadness
damm servers still down i need to hit before all the koxpers pass me,Anxiety
fudge just bsd that whole paper so tired ugh i hate school time to sleep,Sadness
i hate cancer i hate it i hate it i hate it,Anxiety
it is so annoying when she starts typing on her computer in the middle of the night,Angry
i cant sleep,Normal
i missed the bly bus,Normal
feels strong contractions but wants to go out,Normal
socal stoked or maybe not tomorrow,Normal
screw you i only have weeks,Normal
yeah s i feel all funny cause i havent slept enough i woke my mum up cause i was singing shes not impressed s you,Sadness
i need skott right now,Anxiety
has work this afternoon,Normal
aw you would not unfollow me would you then i would cry,Normal
mmm much better day so far its still quite early last day of,Happy
lt your gonna be the first twitter cause your amazing lol come to canada would do anything to see you perform,Happy
just picked up her blackberry from the middle of the street both she and it are crushed,Anxiety
why do i have the feeling i should be packing and hitting for sfo around this time of the year i think im missing something,Anxiety
bed its time hope i go to school tomorrow all though i dont feel very well right now,Anxiety
ahh well i was hoping that i could learn some stuff on the way why not you and i work on separate things but also,Anxiety
im having a problem with my photo here in twitter amfcant see my face,Sadness
oh noooo if i blow a tire youre reaaaally going to have to send up some batman smoke,Normal
wnna take a bath,Normal
chocolate milk is so much better through a straw i lack said straw,Normal
why am i so tired,Anxiety
time diff and ive just been wrapped up in day to day stuff so i havent been tweeting talk soonmust sleepup in hrs,Normal
no way damn that sucks b are you ok,Normal
sucks not being able to take days off of work or have the money to take the trip so sad,Anxiety
bedsorta today was good sara has strep thought angelina does to i shared a water with her b they told me i will prob get it to,Happy
the recession her hotel are restructuring how the accounts are done adds a bit more pressure in the short term but well cope,Normal
but i got dibs on sulu,Normal
aww onward and upwards now yay still sad to leave i bet,Sadness
at once haha poor aby still gets sore,Anxiety
diesel yaris mpg so sad its not available in the us thatd be awesome,Sadness
i want to buy this great album but unfortunately i dont hav enuff funds its quotlong time noisyquot,Sadness
in all honestypain blech,Sadness
ok the passengers no one is alive theyre all dead you just dont know it til the end then you cry,Sadness
at home alone with not much to do,Normal
ia so much i havent really been happy with any of cooks choices for singles,Anxiety
i fell asleep on the beach and didnt put on enough sunscreen lol,Sadness
so i think my son might have the flu cause i def just cleaned up a stanky puke mess poor pumkpin,Anxiety
so great to see oin amp cynthia so happy dinner was great cute little place too bad oin got sick afterwards,Happy
i cant give any bday nudges,Normal
and all woman who transfer their first impressions sexualmaternal onto a less threatening man are themselves as weak as him,Anxiety
brothers bloom wont be opening this weekend in el paso ill just buy brick and enjoy that until i can watch brothers bloom,Normal
says i miss plurking,Normal
bitten to blood by my cat on my way for a rabies bacterin seems shots for months never wash my cats at home again they hate water,Anxiety
i miss voobys,Normal
neither are elp,Normal
dude that is my favorite sandwich place ever ummm did you take pictures,Happy
is sad that shin ae got marriedand it wasnt to alex,Anxiety
sure you will tweet about this when youre back but news is abuzz about tr knights leaving quotconfirmedquot today muy triste,Anxiety
ohh thursday i have exams all day what about wednesday,Sadness
there was a mix up with my dentist appt this afternoon so they rescheduled me for tomorrow am,Normal
i was just thinking about how excited i am for you guys to move but then i realized how sad i am to see you go,Sadness
goooood mooorning people sun is out definitly spring now we had our first spring hail storm my car has dimples now,Anxiety
i love those itsakey usb sticks we only have the gb in australia,Sadness
fresh prince and sleepy sleeps my nightly routine gotta go to dmv early tmrw,Anxiety
dammit hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers so i cant watch and code,Angry
i am jealous of your mom talking to i want to see you all our twittering is making me miss you,Anxiety
i cant sleepi keep thinking about the puppy i played with today,Anxiety
im suppposed to be sleep but i got some much to do amp i got that one part of the song stuck in my head quotyour a jerk iknowquot blaahh,Anxiety
whats going on sweetheart,Normal
how can it be so freaking difficult to get a systemwide spellchecker shit id settle for an office suite one stupid unhelpful windows,Normal
last one month due to summer strawberry is not availble in the chennai markets,Anxiety
work at am gotta go to bed soon,Normal
correct i adore him i just plucked him up and put him under my arm cuz he was cryin all better now hahaha,Happy
hiii im on my ipodi cant fall asleep,Sadness
dont wanna work tomorrow but i get paid,Sadness
feels sad coz i wasnt able to play with the guys,Sadness
princecharming,Normal
cayogial i wanted to come to bz this summer not so sure anymore a teachers life in the summer sucks,Angry
first ever dropped call on my mobile on a call to no less being charged for data even though i have a data pack,Anxiety
you win sigh rakeem,Angry
oh is that time for real,Normal
darn these allergies i dont like this time of year because of this i never used to have this problem either,Sadness
oh no one minute too late oh well,Anxiety
damn that sucks,Angry
i wanted to come to bz this summer not so sure anymore a teachers life in the summer sucks,Sadness
this website gave me a virus when i opened it more windows kept popping up,Angry
ahh big scary bug flying around my room,Anxiety
i wish she knew what she puts me throughshe stole my heart never gave it backand occasionally she likes to be like look what i have,Sadness
is up with a nasty cough i cant be sick i have a huge weekend ahead of me,Anxiety
that was stone cold crazy,Normal
im so tired,Sadness
shift time bbye biochem waaaaahhhhhh,Normal
im sure some will cum out and play im workin through til midnight,Normal
i second that i wish it rained more where i am,Normal
early happy day of birth in case i dont make it very tired from therapy today n just taking my medicine misshu love ya,Sadness
damn it were is eric or anyone else when you need your hair to be played with,Normal
im feel deflated ugh no more dog,Normal
allergies suck ducks nuts ltgt,Sadness
well it almost was a good day guess i just retry tomorrow,Normal
waraku is tasteless and expensive portion is so little re waraku,Angry
sounds good appreciate the suggestion been a week now and were still offline time to ask for a refund,Happy
he died wait what about magic jack i just read it,Anxiety
youstinkatrespondingtotexts,Angry
wonders why her karma points turned into,Sadness
need to pack for cali cali cannot waittt thinking a glass of wine is in order to celebrate my weekend vaca still work morrow tho,Happy
is miserable i feel like im gona cry sux,Sadness
well i ran out of beer so i left not sure about the eta waiting waiting waiting bleh gonna be a long nite methinks,Normal
my nose stud fell out and i cant find it looks like ill have to head into amsterdam today and get a new one,Anxiety
claire love the show got into the office am and no radio,Normal
pats in philly at am i love it mmm cheesesteak miss my boyfriend but i love vacation,Happy
sigh im going to bed i just dont feel right anymore,Sadness
what i focused on tom so much i didnt see my beloved barack oh no i must vote for both poor president only has votes,Normal
epicentre wheelock place tourists only,Normal
now i am depressed after watching so you think you can dance,Sadness
just cross cause im stuck twiddling my thumbs now ugh,Sadness
miss th,Normal
i know but like i said i have no idea how long it takes for them to investigate this stuff,Normal
i cant sleep but im too sore to move,Anxiety
awe i miss my baby,Normal
what is it with chocolates i just can never say no,Normal
achieving a new appreciation on how a xml build script can really be painful and cumbersome,Anxiety
im too awake now ill have a nap this afternoon,Normal
i cant do anything,Anxiety
still needs another hours of sleep,Normal
im at work,Normal
rip leonardo you were a great mini fiddler crab,Happy
morning tweepleway to early again,Normal
last day working for the uni today sad times,Sadness
thanks neemah im gonna be soooo close to you and izzy yet so far,Happy
my head hurts so bad i could scream,Anxiety
i just go up and im so tired and my airmatras is broken somewhere and now im in even more pain,Anxiety
new work wellness challenge not going well i committed to not check email between pm and am failed on first day twice,Anxiety
new blog post blog auto insuran i just found that my auto insurance policy had been expired i am too careless meanw,Anxiety
where are all ma bestfriends at mia or wat,Normal
oh meni really cant see my facecmon guys,Anxiety
im showing my age renewed my tags last week went down got my insurance renewal email today went down i dont wanna be old,Anxiety
my sole supporter is not my sole supporter,Anxiety
dont you hate it when you finish all your work and theres still hours left of work time,Angry
